D:\Anaconda3\envs\bigcn\python.exe D:/liuqiang/MAGNN/run_LastFM.py
Using backend: pytorch
program start at  time.struct_time(tm_year=2020, tm_mon=11, tm_mday=30, tm_hour=16, tm_min=16, tm_sec=47, tm_wday=0, tm_yday=335, tm_isdst=0)
train iteration count of each epoch :8123 ,val iteration count of each epoch: 1161
D:\Anaconda3\envs\bigcn\lib\site-packages\dgl\base.py:45: DGLWarning: Recommend creating graphs by `dgl.graph(data)` instead of `dgl.DGLGraph(data)`.
  return warnings.warn(message, category=category, stacklevel=1)
D:\Anaconda3\envs\bigcn\lib\site-packages\dgl\base.py:45: DGLWarning: Keyword arguments ['multigraph'] are deprecated in v0.5, and can be safely removed in all cases.
  return warnings.warn(message, category=category, stacklevel=1)
Epoch 00000 | Iteration 00000 | Train_Loss 1.3867 | Time1(s) 3.1814 | Time2(s) 3.9734 | Time3(s) 0.4937
Epoch 00000 | Iteration 00100 | Train_Loss 0.4321 | Time1(s) 0.9863 | Time2(s) 0.0966 | Time3(s) 0.0935
Epoch 00000 | Iteration 00200 | Train_Loss 0.5801 | Time1(s) 0.9827 | Time2(s) 0.0774 | Time3(s) 0.0908
Epoch 00000 | Iteration 00300 | Train_Loss 0.0748 | Time1(s) 0.9786 | Time2(s) 0.0715 | Time3(s) 0.0902
Epoch 00000 | Iteration 00400 | Train_Loss 0.0344 | Time1(s) 0.9827 | Time2(s) 0.0686 | Time3(s) 0.0903
Epoch 00000 | Iteration 00500 | Train_Loss 0.0640 | Time1(s) 0.9736 | Time2(s) 0.0665 | Time3(s) 0.0904
Epoch 00000 | Iteration 00600 | Train_Loss 0.0316 | Time1(s) 0.9568 | Time2(s) 0.0643 | Time3(s) 0.0907
Epoch 00000 | Iteration 00700 | Train_Loss 1.5749 | Time1(s) 0.9516 | Time2(s) 0.0630 | Time3(s) 0.0911
Epoch 00000 | Iteration 00800 | Train_Loss 0.0614 | Time1(s) 0.9645 | Time2(s) 0.0627 | Time3(s) 0.0920
Epoch 00000 | Iteration 00900 | Train_Loss 0.1386 | Time1(s) 0.9725 | Time2(s) 0.0623 | Time3(s) 0.0919
Epoch 00000 | Iteration 01000 | Train_Loss 0.0284 | Time1(s) 0.9769 | Time2(s) 0.0619 | Time3(s) 0.0916
Epoch 00000 | Iteration 01100 | Train_Loss 0.1364 | Time1(s) 0.9760 | Time2(s) 0.0615 | Time3(s) 0.0916
Epoch 00000 | Iteration 01200 | Train_Loss 0.0046 | Time1(s) 0.9838 | Time2(s) 0.0614 | Time3(s) 0.0921
Epoch 00000 | Iteration 01300 | Train_Loss 0.0239 | Time1(s) 1.0010 | Time2(s) 0.0617 | Time3(s) 0.0929
Epoch 00000 | Iteration 01400 | Train_Loss 0.2194 | Time1(s) 1.0161 | Time2(s) 0.0621 | Time3(s) 0.0936
Epoch 00000 | Iteration 01500 | Train_Loss 0.1715 | Time1(s) 1.0187 | Time2(s) 0.0621 | Time3(s) 0.0939
Epoch 00000 | Iteration 01600 | Train_Loss 0.0111 | Time1(s) 1.0205 | Time2(s) 0.0619 | Time3(s) 0.0943
Epoch 00000 | Iteration 01700 | Train_Loss 0.0994 | Time1(s) 1.0198 | Time2(s) 0.0617 | Time3(s) 0.0947
Epoch 00000 | Iteration 01800 | Train_Loss 0.0449 | Time1(s) 1.0227 | Time2(s) 0.0616 | Time3(s) 0.0949
Epoch 00000 | Iteration 01900 | Train_Loss 0.0876 | Time1(s) 1.0237 | Time2(s) 0.0616 | Time3(s) 0.0950
Epoch 00000 | Iteration 02000 | Train_Loss 0.1056 | Time1(s) 1.0258 | Time2(s) 0.0615 | Time3(s) 0.0952
Epoch 00000 | Iteration 02100 | Train_Loss 0.0000 | Time1(s) 1.0231 | Time2(s) 0.0613 | Time3(s) 0.0952
Epoch 00000 | Iteration 02200 | Train_Loss 0.0143 | Time1(s) 1.0202 | Time2(s) 0.0611 | Time3(s) 0.0950
Epoch 00000 | Iteration 02300 | Train_Loss 0.0342 | Time1(s) 1.0176 | Time2(s) 0.0610 | Time3(s) 0.0947
Epoch 00000 | Iteration 02400 | Train_Loss 0.0285 | Time1(s) 1.0154 | Time2(s) 0.0608 | Time3(s) 0.0945
Epoch 00000 | Iteration 02500 | Train_Loss 0.0159 | Time1(s) 1.0137 | Time2(s) 0.0608 | Time3(s) 0.0943
Epoch 00000 | Iteration 02600 | Train_Loss 0.0097 | Time1(s) 1.0118 | Time2(s) 0.0607 | Time3(s) 0.0941
Epoch 00000 | Iteration 02700 | Train_Loss 0.0007 | Time1(s) 1.0104 | Time2(s) 0.0606 | Time3(s) 0.0939
Epoch 00000 | Iteration 02800 | Train_Loss 0.0257 | Time1(s) 1.0070 | Time2(s) 0.0604 | Time3(s) 0.0934
Epoch 00000 | Iteration 02900 | Train_Loss 0.0113 | Time1(s) 1.0036 | Time2(s) 0.0602 | Time3(s) 0.0925
Epoch 00000 | Iteration 03000 | Train_Loss 0.1147 | Time1(s) 1.0002 | Time2(s) 0.0599 | Time3(s) 0.0917
Epoch 00000 | Iteration 03100 | Train_Loss 0.0633 | Time1(s) 0.9969 | Time2(s) 0.0597 | Time3(s) 0.0909
Epoch 00000 | Iteration 03200 | Train_Loss 0.9340 | Time1(s) 0.9933 | Time2(s) 0.0596 | Time3(s) 0.0901
Epoch 00000 | Iteration 03300 | Train_Loss 0.0086 | Time1(s) 0.9902 | Time2(s) 0.0594 | Time3(s) 0.0894
Epoch 00000 | Iteration 03400 | Train_Loss 0.0176 | Time1(s) 0.9876 | Time2(s) 0.0592 | Time3(s) 0.0888
Epoch 00000 | Iteration 03500 | Train_Loss 0.0503 | Time1(s) 0.9846 | Time2(s) 0.0591 | Time3(s) 0.0881
Epoch 00000 | Iteration 03600 | Train_Loss 0.0005 | Time1(s) 0.9812 | Time2(s) 0.0589 | Time3(s) 0.0876
Epoch 00000 | Iteration 03700 | Train_Loss 0.6678 | Time1(s) 0.9798 | Time2(s) 0.0588 | Time3(s) 0.0871
Epoch 00000 | Iteration 03800 | Train_Loss 0.0242 | Time1(s) 0.9803 | Time2(s) 0.0588 | Time3(s) 0.0872
Epoch 00000 | Iteration 03900 | Train_Loss 0.0032 | Time1(s) 0.9798 | Time2(s) 0.0587 | Time3(s) 0.0873
Epoch 00000 | Iteration 04000 | Train_Loss 0.3221 | Time1(s) 0.9793 | Time2(s) 0.0587 | Time3(s) 0.0873
Epoch 00000 | Iteration 04100 | Train_Loss 0.3847 | Time1(s) 0.9778 | Time2(s) 0.0586 | Time3(s) 0.0870
Epoch 00000 | Iteration 04200 | Train_Loss 0.0091 | Time1(s) 0.9764 | Time2(s) 0.0585 | Time3(s) 0.0865
Epoch 00000 | Iteration 04300 | Train_Loss 0.1385 | Time1(s) 0.9744 | Time2(s) 0.0584 | Time3(s) 0.0860
Epoch 00000 | Iteration 04400 | Train_Loss 11.1554 | Time1(s) 0.9732 | Time2(s) 0.0583 | Time3(s) 0.0856
Epoch 00000 | Iteration 04500 | Train_Loss 1.5863 | Time1(s) 0.9713 | Time2(s) 0.0581 | Time3(s) 0.0852
Epoch 00000 | Iteration 04600 | Train_Loss 0.0018 | Time1(s) 0.9699 | Time2(s) 0.0580 | Time3(s) 0.0848
